Date,market_ret,breadth,market_anomaly_flag
1981-06-15,-0.0038459678906854755,0.0,0
1981-06-16,-0.019304993180364938,0.0,0
1981-06-17,-0.015748261861798007,0.0,0
1981-06-18,-0.003999671884012068,0.0,0
1981-06-19,-0.028112706088031958,0.0,0
1981-06-22,-0.03718988439823545,0.0,0
1981-06-23,0.017167487816544647,1.0,0
1981-06-24,-0.025316218096901877,0.0,0
1981-06-25,0.021644472809293713,1.0,0
1981-06-26,-0.012711677432759694,0.0,0
1981-06-29,-0.03433468635150705,0.0,0
1981-06-30,-0.07555562212602773,0.0,1
1981-07-01,-0.009615403310634818,0.0,0
1981-07-02,0.0,0.0,0
1981-07-06,-0.03398056743508371,0.0,0
1981-07-07,0.010050440183064335,1.0,0
1981-07-08,0.039800813592923756,1.0,0
1981-07-09,-0.07655509143252381,0.0,1
1981-07-10,-0.07771975216094362,0.0,1
1981-07-13,0.02247184948322478,1.0,0
1981-07-14,0.04395537245343473,1.0,0
1981-07-15,0.026316202571498692,1.0,0
1981-07-16,0.02564072651706395,1.0,0
1981-07-17,0.03500007372161473,1.0,0
1981-07-20,-0.0676328250731213,0.0,0
1981-07-21,-0.005181270245885106,0.0,0
1981-07-22,-0.05729168952182606,0.0,0
1981-07-23,0.027624270301591203,1.0,0
1981-07-24,0.03225812880928958,1.0,0
1981-07-27,0.04166648382539262,1.0,0
1981-07-28,-0.03499990521506691,0.0,0
1981-07-29,-0.015544247283072243,0.0,0
1981-07-30,0.03684236432449928,1.0,0
1981-07-31,0.01522828528274256,1.0,0
1981-08-03,-0.009999852556770716,0.0,0
1981-08-04,0.015151715017684309,1.0,0
1981-08-05,0.029850463485062928,1.0,0
1981-08-06,-0.024154557124936638,0.0,0
1981-08-07,0.0,0.0,0
1981-08-11,-0.029702779506869836,0.0,1
1981-08-12,-0.020408286083452465,0.0,0
1981-08-13,-0.03125006033762057,0.0,0
1981-08-14,-0.016129064404644566,0.0,1
1981-08-17,-0.032786675424095524,0.0,1
1981-08-18,-0.02259910133676113,0.0,1
1981-08-19,-0.011560522483252567,0.0,1
1981-08-20,0.01169573124729495,1.0,0
1981-08-21,-0.06936391412049714,0.0,1
1981-08-24,-0.06211222574260078,0.0,0
1981-08-25,0.026490348535192387,1.0,0
1981-08-26,-0.01935444172865064,0.0,0
1981-08-27,0.006578514141128089,1.0,0
1981-08-28,0.052287795490787436,1.0,0
1981-08-31,0.0,0.0,0
1981-09-01,0.06211170243051245,1.0,0
1981-09-02,0.017544385205483293,1.0,0
1981-09-03,-0.051724401744099535,0.0,1
1981-09-04,-0.012121436177562561,0.0,0
1981-09-08,-0.03067480032754355,0.0,0
1981-09-09,0.0,0.0,0
1981-09-10,0.006328912099651696,1.0,0
1981-09-11,-0.01257832374365131,0.0,0
1981-09-14,-0.03184697378994372,0.0,0
1981-09-15,-0.026316162895189232,0.0,0
1981-09-16,-0.020270423360104206,0.0,0
1981-09-17,-0.027586264601528132,0.0,0
1981-09-18,0.007092452854315923,1.0,0
1981-09-21,0.00704191089233186,1.0,0
1981-09-22,-0.05594365093168818,0.0,0
1981-09-23,-0.022222200032065986,0.0,1
1981-09-24,-0.007575962599728592,0.0,0
1981-09-25,-0.12977099383928536,0.0,1
1981-09-28,0.008772021235074146,1.0,1
1981-09-29,0.052173646108774285,1.0,1
1981-09-30,0.008264480649215367,1.0,0
1981-10-01,0.0,0.0,0
1981-10-02,0.08196759577543045,1.0,0
1981-10-05,0.030302765319218716,1.0,1
1981-10-06,-0.007352708404951169,0.0,0
1981-10-07,0.05925880482335488,1.0,1
1981-10-08,0.034965348921723205,1.0,0
1981-10-09,0.00675722525780631,1.0,0
1981-10-12,0.033557209406685606,1.0,0
1981-10-13,0.0,0.0,0
1981-10-14,-0.05844229169598203,0.0,0
1981-10-15,0.02068981466255626,1.0,0
1981-10-16,-0.01351353966956581,0.0,0
1981-10-19,0.020548447183534657,1.0,0
1981-10-20,0.053691014829471806,1.0,0
1981-10-21,0.0,0.0,0
1981-10-22,-0.00636943768957654,0.0,0
1981-10-23,-0.025640853921729212,0.0,0
1981-10-26,0.0,0.0,0
1981-10-27,0.019736429299458624,1.0,0
1981-10-28,0.03225791021254998,1.0,0
1981-10-29,-0.012499710379371476,0.0,0
1981-10-30,0.01265793084898581,1.0,0
1981-11-02,0.0,0.0,0
1981-11-03,-0.012499710379371476,0.0,0
1981-11-04,-0.02531596834765404,0.0,0
1981-11-05,-0.07142943115517297,0.0,0
1981-11-06,0.00699325832316422,1.0,0
1981-11-09,0.013888916518238315,1.0,0
1981-11-10,0.006849559338129696,1.0,0
1981-11-11,0.027210357990302247,1.0,0
1981-11-12,0.033113103059621674,1.0,0
1981-11-13,-0.07051315841208128,0.0,0
1981-11-16,-0.01379324851217456,0.0,0
1981-11-17,0.02097930362244349,1.0,0
1981-11-18,0.03424629629009823,1.0,0
1981-11-19,0.0,0.0,0
1981-11-20,0.006623200899445569,1.0,0
1981-11-23,-0.0460531464921945,0.0,0
1981-11-24,-0.006896449938971538,0.0,0
