Date,Ticker,anomaly_flag,type,ret,ret_z,volz,range_pct,why
1980-12-12,AAPL,0,,,,,,
1980-12-15,AAPL,0,,-0.052173939163580374,,,,
1980-12-16,AAPL,0,,-0.07339455994484112,,,,
1980-12-17,AAPL,0,,0.0247524413843363,,,,
1980-12-18,AAPL,0,,0.028985810447242244,,,,
1980-12-19,AAPL,0,,0.06103265362985533,,,,
1980-12-22,AAPL,0,,0.04867266072688636,,,,
1980-12-23,AAPL,0,,0.04219388642761168,,,,
1980-12-24,AAPL,0,,0.052631413780082514,,,,
1980-12-26,AAPL,0,,0.09230802533249904,,,,
1980-12-29,AAPL,0,,0.014084415117455062,,,,
1980-12-30,AAPL,0,,-0.02430548688849532,,,,
1980-12-31,AAPL,0,,-0.028469745554561388,,,,
1981-01-02,AAPL,0,,0.010988599947880262,,,,
1981-01-05,AAPL,0,,-0.02173863139197063,,,,
1981-01-06,AAPL,0,,-0.04444471211320189,,,,
1981-01-07,AAPL,0,,-0.04263561739818322,,,,
1981-01-08,AAPL,0,,-0.020243024630948625,,,,
1981-01-09,AAPL,0,,0.05371905458909154,,,,
1981-01-12,AAPL,0,,-0.00784282343493925,,,,
1981-01-13,AAPL,0,,-0.035573452913890136,,,,
1981-01-14,AAPL,0,,0.00409830036969927,,-1.804707943451591,,
1981-01-15,AAPL,0,,0.020408139403485404,,-1.9364575644778967,,
1981-01-16,AAPL,0,,-0.007999815586412606,,-1.9124226549961267,,
1981-01-19,AAPL,0,,0.06048406220337221,,0.2028443454618741,,
1981-01-20,AAPL,0,,-0.030418499682144162,,-0.3059649514443072,,
1981-01-21,AAPL,0,,0.01960775243784374,,-1.4426482116481056,,
1981-01-22,AAPL,0,,0.011538811015092465,,0.16957979929557013,,
1981-01-23,AAPL,0,,-0.003802416575504286,,-1.9300233050536084,,
1981-01-26,AAPL,0,,-0.015267270327370186,,-0.3459294597081017,,
1981-01-27,AAPL,0,,-0.007751692935617838,,-0.3633383264243221,,
